word,audio
Kanda,audio/1.wav
Akihabara,audio/2.wav
Okachimachi,audio/3.wav
Ueno,audio/4.wav
Uguisudani,audio/5.wav
Nippori,audio/6.wav
調整中,audio/7.wav
Tabata,audio/8.wav
Komagome,audio/9.wav
Sugamo,audio/10.wav
Otsuka,audio/11.wav
Ikebukuro,audio/12.wav
Mejiro,audio/13.wav
Takadanobaba,audio/14.wav
Shin-Okubo,audio/15.wav
Shinjuku,audio/16.wav
Yoyogi,audio/17.wav
Harajuku,audio/18.wav
Shibuya,audio/19.wav
Ebisu,audio/20.wav
Meguro,audio/21.wav
Gotanda,audio/22.wav
Osaki,audio/23.wav
Shinagawa,audio/24.wav
Tamachi,audio/26.wav
Hamamatsucho,audio/27.wav
Shimbashi,audio/28.wav
Yurakucho,audio/29.wav
Tokyo,audio/30.wav